Name,Location,Price (INR in Lakhs),Price_per_sqft,Area_sqft,Description,Property_URL,bedrooms,bathrooms,balconies,current_floor,total_floors,furnishing_status,Mapped_Area,facing,property_age_bucket,is_ready_to_move,is_built_up_area,is_carpet_area,is_super_built_up_area,property_type,luxury_score,location_advantage_score,log_price,Bedrooms,pps
"4 BHK Flatin Koba, Gandhinagar","Koba, Gandhinagar",168.0,3563.0,4714.5882,"Residential apartment This is your chance to a 4 bhk apartment / flat for sale in koba gandhinagar . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedroom apartment with 4 bathrooms, modular kitchen, spacious hall and 4 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has g...",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-koba-gandhinagar-438-sq-ft-spid-I89042256,4.0,4.0,4.0,,,,Koba,,New,1,False,True,False,apartment,0.0,0.0,5.1298987149230735,4.0,3563.0
"3 BHK Flatin Koba, Gandhinagar","Koba, Gandhinagar",95.0,4712.0,2016.0,"vacant & ready for immediate possession ________________________________________ A spacious and well-Maintained 3 bhk apartment is available for sale in the highly rated silicone hills apartments one of raisan's most sought-After residential societies, located on prime pdpu road...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-silicone-hills-koba-gandhinagar-2016-sqft-spid-B90874768,3.0,3.0,1.0,,,,Koba,,New,1,False,False,True,apartment,0.0,0.0,4.564348191467836,3.0,4712.0
"2 BHK Flatin Raysan, Gandhinagar","Raysan, Gandhinagar",59.0,4149.0,1422.0,"Well-Furnished and well-Maintained flat in a peaceful location. The society is decent and well-Managed, with good residents and a calm environment. No issues related to water supply or parking. Ideal for families or working professionals looking for a hassle-Free stay. Nearer to pdpu & metr. Additional details : Piped gas facility is available in the property. The apartment has borings water su...",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sre-luvkush-4-raysan-gandhinagar-1422-sqft-spid-V88148666,0.0,2.0,1.0,,,furnished,Raysan,,Unknown,1,False,False,True,apartment,0.0,5.0,4.0943445622221,2.0,4149.0
"2 BHK Flatin Vavol, Gandhinagar","Vavol, Gandhinagar",60.5,5465.0,1107.0,"The flat is east-Facing. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a carpet area of 1107 sq.Ft. The flat has a total of 7 floors and this property is situated on top floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The floor of this flat is beautifully designed using ceramic flooring, giving the flat a...",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-radhe-vrundavan-residency-vavol-gandhinagar-1107-sqft-r2-spid-L76565921,2.0,2.0,3.0,,7.0,unfurnished,Vavol,East,1-5 years,1,False,True,False,apartment,0.0,0.0,4.119037174812473,2.0,5465.0
"4 BHK Flatin Koba, Gandhinagar","Koba, Gandhinagar",165.0,4263.0,3875.04,"Property for sell: Luxurious 4 bhk apartment Location: Skyra, 12th floor, opp - Gnlu metro station, koba, gandhinagar Size: 3870 sqft Features: - The appartments are situated at a strategic & convinient location of 2 road corner on 80 metre wide road just opposite gnlu metro station. - 4 spacious bedrooms & modern washrooms - Living rooms with a beautiful courtyard balcony - Fully vastu-Complia...",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-maruti-skyra-koba-gandhinagar-3870-sqft-spid-T88688802,4.0,4.0,2.0,12.0,14.0,,Koba,,New,1,False,False,True,apartment,1.0,3.0,5.111987788356544,4.0,4258.0
"2 BHK Flatin Gift City, Gandhinagar","Gift City, Gandhinagar",155.0,17822.0,1581.0,Coming up in the most promising area of tomorrow - Gift city ahmedabad. Best for end user and investor.,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shivalik-skyview-gift-city-gandhinagar-1582-sqft-spid-K90727598,2.0,2.0,1.0,,,,Gift City,,Unknown,0,False,False,True,apartment,0.0,0.0,5.049856007249537,2.0,9804.0
"2 BHK Builder Floorin Sargasan, Gandhinagar","Sargasan, Gandhinagar",54.0,7648.0,706.0,"Premium 2bhk flat in vibrant cultural society sargasan Experience the perfect blend of modern comfort and community living in this spacious 1,050 sq. Ft. Flat located in the heart of sargasan, gandhinagar. Situated within a prestigious cultural society, this home is ideal for those who value festive celebrations, a safe environment, low annual maintenance amount and a friendly neighborhood. Pro...",https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-psy-pramukh-lotus-sargasan-gandhinagar-1242-sqft-spid-R80413281,2.0,2.0,1.0,,,,Sargasan,,New,1,False,False,False,apartment,0.0,0.0,4.007333185232471,2.0,7649.0
"3 BHK Flatin Sargasan, Gandhinagar","Sargasan, Gandhinagar",60.0,3925.0,1528.0,"Prime 3bhk garden-Facing flat in vibrant shiva blessings 1 society at gandhinagar Discover this spacious semi-Furnished 3bhk flat on the 2nd floor of shiva blessings 1, a lively society in a prime location. Perfectly garden-Facing, it boasts one major balcony adjoining the drawing-Cum-Dining room, ideal for morning coffees with lush green views. The modular kitchen includes a handy pantry, whil...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bansal-shiva-blessing-1-sargasan-gandhinagar-1529-sqft-spid-J91125540,3.0,3.0,1.0,2.0,,semi-furnished,Sargasan,Other,New,1,False,False,True,apartment,0.0,0.0,4.110873864173311,3.0,3927.0
"3 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",95.0,4712.0,2016.0,"Located in akshat heaven, kudasan, this 5-10 year old 3 bhk flat offers 2016 sq.Ft. Of living space on the 1st floor of a low-Rise 5-Floor building. Featuring 3 bedrooms and 3 bathrooms, the apartment is available immediately and comes unfurnished. Nearby are several temples and a multispeciality dental clinic, enhancing its convenience.",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-akshat-heaven-kudasan-gandhinagar-2016-sq-ft-spid-Y90483186,3.0,3.0,1.0,1.0,5.0,unfurnished,Kudasan,,5-10 years,1,False,False,True,apartment,0.0,2.0,4.564348191467836,3.0,4712.0
"3 BHK Flatin Gift City, Gandhinagar","Gift City, Gandhinagar",95.0,4549.0,2088.0,"Shree rang pearl kaavyaratna offers thoughtfully designed 2 bhk and 3 bhk low-Rise apartments, crafted for comfortable and modern living. With a total of 192 premium residences across 8 well-Planned blocks, the project ensures a peaceful and spacious lifestyle. Out of the 8 blocks, 2 blocks are dedicated to 3 bhk homes, while the remaining offer well-Optimized 2 bhk apartments. Each apartment i...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shree-rang-pearl-by-kaavyaratna-group-gift-city-gandhinagar-2088-sqft-spid-J89986800,2.0,2.0,1.0,,8.0,,Gift City,,New,1,False,False,True,apartment,0.0,0.0,4.564348191467836,3.0,4550.0
"2 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",65.0,6989.0,930.0,"The flat is facing the north-East direction. The flat occupies a carpet area of 930 sq.Ft. That consists of 2 bedrooms, 2 bathrooms . The flat has a total of 8 floors and this property is situated on 5th floor. As the project is already ready to move, so you can easily move into this 5-10 years old property. The well built ceramic flooring enhances the aesthetic appeal of this flat. The society...",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-ugati-heights-kudasan-gandhinagar-930-sqft-spid-D89937030,2.0,2.0,1.0,5.0,8.0,,Kudasan,North-East,5-10 years,1,False,True,False,apartment,0.0,0.0,4.189654742026425,2.0,6989.0
"3 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",103.0,4975.0,2070.0,"Just ready possession ,the flat is over 2070 sq.Ft. Built up area and comes with 3 bedroom(s), 3 bathrooms and 1 balcony. This flat is situated on the 4th floor of this 7 floors tall residential building. This is a ready to move project . Located in kudasan service road, project around all greenery view , low rise scheme, gated community with security Power backup & fire safety Garden, children...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kudasan-gandhinagar-2070-sqft-spid-G90293054,3.0,3.0,1.0,4.0,7.0,unfurnished,Kudasan,,New,1,True,False,False,apartment,10.0,0.0,4.6443908991413725,3.0,4976.0
"2 BHK Flatin Gift City, Gandhinagar","Gift City, Gandhinagar",70.0,4830.0,1449.0,"Shree rang pearl, located in randesan, is a strong candidate if you are looking for a residence near gift city. Based on current real estate dynamics in the gandhinagar region, here is why a 2bhk unit of approximately 161 sq. Yards in this project stands out as a solid choice for living:1. Strategic location & connectivity proximity to gift city: The primary advantage of living in randesan is i...",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-rang-pearl-by-kaavyaratna-group-gift-city-gandhinagar-1449-sqft-spid-U90885608,2.0,2.0,1.0,,,,Gift City,,New,1,False,False,True,apartment,0.0,5.0,4.2626798770413155,2.0,4831.0
"3 BHK Flatin Sargasan, Gandhinagar","Sargasan, Gandhinagar",77.0,4331.0,1845.0,"The flat is facing the north-East direction. The flat occupies a built up area of 205 sq.Yards that consists of 3 bedrooms, 3 bathrooms and 2 balconies. This flat is situated on the 2nd floor of this 5 floors tall residential building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The ceramic flooring of this flat is beautifully designed and ...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sthapan-apartments-sargasan-gandhinagar-1845-sqft-spid-M90541100,3.0,3.0,2.0,2.0,5.0,unfurnished,Sargasan,North-East,5-10 years,1,True,False,False,apartment,0.0,0.0,4.356708826689592,3.0,4173.0
"3 BHK Flatin Randesan, Gandhinagar","Randesan, Gandhinagar",100.0,5168.0,1935.0,"This 3 bhk apartment is located in kavyaratna sanskruti, which houses some of the most spacious flats in randesan, gandhinagar. The flat is over 215 sq.Yards super built up area and comes with 3 bedrooms, 3 bathrooms and 1 balcony. The flat has a total of 13 floors and this property is situated on 13th floor. An added advantage of this 1 year old flat is that it is available for immediate posse...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-randesan-gandhinagar-1935-sqft-spid-B89741302,3.0,3.0,1.0,13.0,13.0,,Randesan,,New,1,False,False,True,apartment,0.0,0.0,4.61512051684126,3.0,5168.0
"3 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",145.0,7435.0,3230.0,"Shivalay parisar is a well-Maintained residential apartment complex located in kudasan, gandhinagar. It offers a peaceful, secure living environment with good connectivity to main roads, nearby markets, schools, and daily amenities, making it suitable for families and professionals.",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shivalay-parisar-kudasan-gandhinagar-3230-sqft-spid-T88403926,3.0,3.0,1.0,,,,Kudasan,,Unknown,1,False,False,True,apartment,0.0,2.0,4.983606621708336,3.0,4489.0
"2 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",65.0,4108.0,1582.2933,"The flat is facing the north-West direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 147 sq.Ft. The flat has a total of 6 floors and this property is situated on 5th floor. This is a ready to move project and the property is 10+ years old. The floor of this flat is beautifully designed using vitri...",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sahjanand-city-kudasan-gandhinagar-147-sqft-spid-F90968710,2.0,2.0,1.0,5.0,6.0,unfurnished,Kudasan,North-West,10-20 years,1,False,False,True,apartment,0.0,0.0,4.189654742026425,2.0,4108.0
"2 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",120.0,9732.0,2232.0,"This property faces the east direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 248 sq.Yards. This flat is situated on the 4th floor of this 14 floors tall residential building. This 0-1 year old property is available for immediate possession as the project is ready to move. The beautifully design...",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kudasan-gandhinagar-2232-sqft-spid-F90210510,2.0,2.0,1.0,4.0,14.0,unfurnished,Kudasan,East,New,1,False,False,True,apartment,0.0,0.0,4.795790545596741,2.0,5376.0
"3 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",129.0,4550.0,2835.0,"This is a east-Facing property. Constructed on a super built up area of 2835 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 1 balcony. This flat is situated on the 12th floor of this 13 floors tall residential building. This is a ready to move project and the property is 1-5 years old. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. Th...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shivalay-sharnam-kudasan-gandhinagar-2835-sqft-spid-N90783482,3.0,3.0,1.0,12.0,13.0,unfurnished,Kudasan,East,1-5 years,1,False,False,True,apartment,0.0,0.0,4.867534450455582,3.0,4550.0
"3 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",141.0,6266.0,2250.0,"This is a east-Facing property. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 2250 sq.Ft. The flat has a total of 6 floors and this property is situated on 2nd floor. This is a ready to move project and the property is 1-5 years old. The floor of this flat is beautifully designed using vitrified floorin...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mahalaxmi-royal-palace-kudasan-gandhinagar-2250-sqft-spid-G90879552,3.0,3.0,1.0,2.0,6.0,unfurnished,Kudasan,East,1-5 years,1,False,False,True,apartment,0.0,0.0,4.955827057601261,3.0,6267.0
"2 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",62.0,4593.0,1350.0,"This property in kudasan, gandhinagar is a ready-To-Move residential apartment community by uma projects offering thoughtfully designed 2 bhk and 3 bhk homes. Set in a calm and accessible locality, it combines comfort with practical living spaces. The society features landscaped gardens, childrens play areas, clubhouse and security provisions. With excellent connectivity to podar international ...",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-uma-mahalaxmi-4-kudasan-gandhinagar-1350-sqft-r1-spid-X88640570,2.0,2.0,1.0,,,semi-furnished,Kudasan,,New,1,False,False,True,apartment,7.0,1.0,4.143134726391533,2.0,4593.0
"3 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",145.0,5498.0,2637.0,"The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2637 sq.Ft. The flat has a total of 7 floors and this property is situated on 4th floor. This is a ready to move project and the property is 1-5 years old. The society is well equipped with many modern amenities, including swimming pool, fitness centre / g...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shivalay-parisar-kudasan-gandhinagar-2637-sqft-spid-T90543098,3.0,3.0,3.0,4.0,7.0,,Kudasan,,1-5 years,1,False,False,True,apartment,5.0,0.0,4.983606621708336,3.0,5499.0
"3 BHK Flatin Koba, Gandhinagar","Koba, Gandhinagar",120.0,5333.0,2250.0,"The flat is facing the north-East direction. The flat occupies a super built up area of 2250 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 1 balcony. This flat lies on the 8th level of a 9 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The floor of this flat is beautifully designed using vitrified flooring, giving the fla...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-saamarth-heaven-5-koba-gandhinagar-2250-sqft-spid-J90922894,3.0,3.0,1.0,8.0,9.0,unfurnished,Koba,North-East,1-5 years,1,False,False,True,apartment,0.0,0.0,4.795790545596741,3.0,5333.0
"3 BHK Flatin Sargasan, Gandhinagar","Sargasan, Gandhinagar",111.0,4501.0,2466.0,"The flat is facing the south direction. The flat is over 274 sq.Yards carpet area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. The property is located on the 1st floor of a 13 floors tall building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. The flat comes well built with vitrified flooring options. The flat will offer a modern ...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sargasan-gandhinagar-2466-sqft-r1-spid-Y88733324,3.0,3.0,2.0,1.0,13.0,semi-furnished,Sargasan,South,New,1,False,True,False,apartment,0.0,0.0,4.718498871295094,3.0,4501.0
"3 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",78.0,3939.0,1980.0,"This property in kudasan, gandhinagar is a well-Located residential project offering quality housing with modern conveniences and serene surroundings. Strategically positioned in urjanagar 1, it provides seamless connectivity to major roads and nearby localities, enhancing daily commute and accessibility. The community features well-Designed flats, ready-To-Move options, and essential amenities...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kudasan-gandhinagar-1980-sqft-r1-spid-W88630582,3.0,3.0,1.0,,,,Kudasan,,Unknown,1,False,False,True,apartment,0.0,0.0,4.3694478524670215,3.0,3939.0
"2 BHK Flatin Vavol, Gandhinagar","Vavol, Gandhinagar",60.0,5510.0,1089.0,"The shreeji homes flat is over 121 sq.Yards super built up area and comes with 2 bedrooms, 2 bathrooms and 2 balconies. This flat lies on the 1st level of a 3 storey building. This 10 years old property is available for immediate possession as the project is ready to move. Na/noc available.",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vavol-gandhinagar-1089-sqft-spid-M90644556,2.0,2.0,2.0,1.0,3.0,,Vavol,,10-20 years,1,False,False,True,apartment,0.0,0.0,4.110873864173311,2.0,5510.0
"3 BHK Flatin Raysan, Gandhinagar","Raysan, Gandhinagar",125.0,5490.0,2277.0,"The satvan bellevue flat occupies a super built up area of 253 sq.Yards that consists of 3 bedrooms, 3 bathrooms and 2 balconies. This flat is situated on the 8th floor of this 9 floors tall residential building. As the project is already ready to move, so you can easily move into this 2 years old property. Na/noc available.",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-satvan-bellevue-raysan-gandhinagar-2277-sqft-spid-I90702252,3.0,3.0,2.0,8.0,9.0,,Raysan,,Unknown,1,False,False,True,apartment,0.0,0.0,4.836281906951478,3.0,5490.0
"3 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",110.0,10091.0,1090.0,"The flat is facing the east direction. Constructed on a carpet area of 1090 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 1 balcony. This flat lies on the 2nd level of a 7 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The beautifully designed vitrified flooring enhances the beauty of the flat. Moreover, this propert...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shreedhar-bhakti-kudasan-gandhinagar-1090-sqft-spid-J90664988,3.0,3.0,1.0,2.0,7.0,unfurnished,Kudasan,East,1-5 years,1,False,True,False,apartment,0.0,0.0,4.709530201312334,3.0,10092.0
"3 BHK Flatin Randesan, Gandhinagar","Randesan, Gandhinagar",80.0,4678.0,1710.0,"The maruti meghnam flat occupies a super built up area of 190 sq.Yards that consists of 3 bedrooms, 3 bathrooms and 1 balcony. The residential building has 4 floors in total and the flat for sale is located on the top floor. This 12 years old property is available for immediate possession as the project is ready to move.",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-md-maruti-magnum-randesan-gandhinagar-1710-sqft-spid-T90306894,3.0,3.0,1.0,,4.0,,Randesan,,Unknown,1,False,False,True,apartment,0.0,0.0,4.394449154672439,3.0,4678.0
"2 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",52.0,6280.0,828.0,"This society, kudasan is a well-Planned residential society offering a peaceful and comfortable lifestyle. The project features thoughtfully designed flats with good ventilation, natural light, and quality construction. Located in a prime area of kudasan, the society enjoys excellent connectivity to gandhinagar, sargasan, and major city roads. Daily essentials, schools, colleges, hospitals, and...",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kudasan-gandhinagar-828-sqft-r1-spid-C88635650,2.0,2.0,1.0,,,,Kudasan,,Unknown,1,False,True,False,apartment,0.0,10.0,3.970291913552122,2.0,6280.0
"3 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",85.0,4794.0,1773.0,"Akshat heaven in kudasan, gandhinagar is a well-Located ready-To-Move residential project offering spacious 2 bhk and 3 bhk apartments designed for modern family living. The society features landscaped gardens, childrens play areas, lift, power backup, cctv security and ample parking. Situated close to schools like podar international school and essential amenities, it combines comfort with pra...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kudasan-gandhinagar-1773-sqft-r1-spid-D88681112,2.0,2.0,1.0,,,unfurnished,Kudasan,,New,1,False,False,True,apartment,8.0,1.0,4.454347296253507,3.0,4794.0
"3 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",139.0,4833.0,2880.0,"The grasslands is a premium residential project located in kudasan, gandhinagar, developed by nakshatra group & samved group. It is designed to offer a luxurious lifestyle with maximum open green space and modern architecture, making it one of the most attractive high-End projects in the area. Key highlights Configuration: 3 bhk & 4 bhk luxury apartments Size range: Approx. 1358 to 3080 sq.Ft. ...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-the-grasslands-kudasan-gandhinagar-2880-sqft-spid-O90302400,3.0,3.0,1.0,,,,Kudasan,,New,1,False,False,True,apartment,0.0,0.0,4.941642422609304,3.0,4826.0
