Page,Name,BHK,Location,Price,Price_per_sqft,Area_sqft,Area_sqm,Area_type,Status,Description,Builder,Posted_Time,Property_URL,Image_URL
1,"4 BHK Flatin Koba, Gandhinagar",4 BHK Flat,"Koba, Gandhinagar",₹1.65 Cr,"₹4,263 /sqft","Property for sell: Luxurious 4 bhk apartment Location: Skyra, 12th floor, opp - Gnlu metro station, koba, gandhinagar Size: 3870 sqft Features: - The appartments are situated at a strategic & convinient location of 2 road corner on 80 metre wide road just opposite gnlu metro station. - 4 spacious bedrooms & modern washrooms - Living rooms with a beautiful courtyard balcony - Fully vastu-Complia...",(360 sqm),Super Built-up Area,Ready To Move,,,,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-maruti-skyra-koba-gandhinagar-3870-sqft-spid-T88688802,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"2 BHK Flatin Gift City, Gandhinagar",2 BHK Flat,"Gift City, Gandhinagar",₹1.55 Cr,"₹17,822 /sqft","1,581 sqft",(147 sqm),Super Built-up Area,Under Construction,Coming up in the most promising area of tomorrow - Gift city ahmedabad. Best for end user and investor.,,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shivalik-skyview-gift-city-gandhinagar-1582-sqft-spid-K90727598,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"2 BHK Builder Floorin Sargasan, Gandhinagar",2 BHK Builder Floor,"Sargasan, Gandhinagar",₹54 Lac,"₹7,648 /sqft","60,984 sqft","(5,666 sqm)",,Ready To Move,"Premium 2bhk flat in vibrant cultural society sargasan Experience the perfect blend of modern comfort and community living in this spacious 1,050 sq. Ft. Flat located in the heart of sargasan, gandhinagar. Situated within a prestigious cultural society, this home is ideal for those who value festive celebrations, a safe environment, low annual maintenance amount and a friendly neighborhood. Pro...",,,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-psy-pramukh-lotus-sargasan-gandhinagar-1242-sqft-spid-R80413281,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Sargasan, Gandhinagar",3 BHK Flat,"Sargasan, Gandhinagar",₹60 Lac,"₹3,925 /sqft","1,528 sqft",(142 sqm),Super Built-up Area,Ready To Move,"Prime 3bhk garden-Facing flat in vibrant shiva blessings 1 society at gandhinagar Discover this spacious semi-Furnished 3bhk flat on the 2nd floor of shiva blessings 1, a lively society in a prime location. Perfectly garden-Facing, it boasts one major balcony adjoining the drawing-Cum-Dining room, ideal for morning coffees with lush green views. The modular kitchen includes a handy pantry, whil...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bansal-shiva-blessing-1-sargasan-gandhinagar-1529-sqft-spid-J91125540,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Kudasan, Gandhinagar",3 BHK Flat,"Kudasan, Gandhinagar",₹95 Lac,"₹4,712 /sqft","2,016 sqft",(187 sqm),Super Built-up Area,Ready To Move,"Located in akshat heaven, kudasan, this 5-10 year old 3 bhk flat offers 2016 sq.Ft. Of living space on the 1st floor of a low-Rise 5-Floor building. Featuring 3 bedrooms and 3 bathrooms, the apartment is available immediately and comes unfurnished. Nearby are several temples and a multispeciality dental clinic, enhancing its convenience.",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-akshat-heaven-kudasan-gandhinagar-2016-sq-ft-spid-Y90483186,https://static.99acres.com/universalapp/img/StarNew.png
1,"4 Bedroom Housein Sector 3C Gandhinagar, SG Highway",4 BHK,"Sector 3C Gandhinagar, SG Highway",₹2.1 Cr,"₹21,605 /sqft",972 sqft,(90 sqm),,"Construction g+2 (3 flor )
4 badroom 
2 kitchen 
Property highlights 
East facing, 3 side open property, vetrified flooring, 
Only 2 years,
24 hour water and electricity 
B.U permission approved 
12 meter road
Fully furnished 
4 a.C
Solar system",,,,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-3c-gandhinagar-972-sqft-spid-K90465736,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Gift City, Gandhinagar",3 BHK Flat,"Gift City, Gandhinagar",₹95 Lac,"₹4,549 /sqft","2,088 sqft",(194 sqm),Super Built-up Area,Ready To Move,"Shree rang pearl kaavyaratna offers thoughtfully designed 2 bhk and 3 bhk low-Rise apartments, crafted for comfortable and modern living. With a total of 192 premium residences across 8 well-Planned blocks, the project ensures a peaceful and spacious lifestyle. Out of the 8 blocks, 2 blocks are dedicated to 3 bhk homes, while the remaining offer well-Optimized 2 bhk apartments. Each apartment i...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shree-rang-pearl-by-kaavyaratna-group-gift-city-gandhinagar-2088-sqft-spid-J89986800,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"Residential land / Plotin Sanavad, Gandhinagar",,"Sanavad, Gandhinagar",₹13.5 Cr,"₹5,000 /sqft","27,000 sqft","(2,508 sqm)",,Ready To Move,Planning to build residence in gandhinagar? This plot in sanavad is the best deal for you. It spreads over 3000 sq.Yards super built up area. The property is enclosed by boundary wall. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price of  13.5 crore. This residential plot is west-Facing direction.,,,https://www.99acres.com/residential-land-plot-for-sale-in-sanavad-ahmedabad-east-3000-sqyd-spid-Z90127116,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"Residential land / Plotin Palodia, Gandhinagar",,"Palodia, Gandhinagar",₹4.97 Cr,"₹9,444 /sqft","5,265 sqft",(489 sqm),,Ready To Move,An outstanding residential plot is available for sale in prime location .It's one of the best location of ahmedabad. Very good opportunity for those who want to make investment,,,https://www.99acres.com/residential-land-plot-for-sale-in-palodia-ahmedabad-west-585-sqyd-r8-spid-R76241875,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"6 Bedroom Housein Palodia, Gandhinagar",6 BHK,"Palodia, Gandhinagar",₹8 Cr,"₹13,488 /sqft","5,931 sqft",(551 sqm),,Ready To Move,"This 6 bhk house for sale in palodia, a well planned locality in gandhinagar, is ideal for a family that is looking for complete peace of mind. Containing 6 bedrooms, 6 bathrooms and 1 balcony, this independent house is spread over a super built up area of 659 sq.Yards. The owner of the house also gets 2 open parking slot(s) to park their car safely. Another added advantage of this 1-5 years ol...",,,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-palodia-ahmedabad-west-5931-sqft-spid-V88747806,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"2 BHK Flatin Kudasan, Gandhinagar",2 BHK Flat,"Kudasan, Gandhinagar",₹65 Lac,"₹6,989 /sqft",930 sqft,(86 sqm),Carpet Area,Ready To Move,"The flat is facing the north-East direction. The flat occupies a carpet area of 930 sq.Ft. That consists of 2 bedrooms, 2 bathrooms . The flat has a total of 8 floors and this property is situated on 5th floor. As the project is already ready to move, so you can easily move into this 5-10 years old property. The well built ceramic flooring enhances the aesthetic appeal of this flat. The society...",,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-ugati-heights-kudasan-gandhinagar-930-sqft-spid-D89937030,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Kudasan, Gandhinagar",3 BHK Flat,"Kudasan, Gandhinagar",₹1.03 Cr,"₹4,975 /sqft","2,070 sqft",(192 sqm),Built-up Area,Ready To Move,"Just ready possession ,the flat is over 2070 sq.Ft. Built up area and comes with 3 bedroom(s), 3 bathrooms and 1 balcony. This flat is situated on the 4th floor of this 7 floors tall residential building. This is a ready to move project . Located in kudasan service road, project around all greenery view , low rise scheme, gated community with security Power backup & fire safety Garden, children...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kudasan-gandhinagar-2070-sqft-spid-G90293054,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"2 BHK Flatin Gift City, Gandhinagar",2 BHK Flat,"Gift City, Gandhinagar",₹70 Lac,"₹4,830 /sqft","1,449 sqft",(135 sqm),Super Built-up Area,Ready To Move,"Shree rang pearl, located in randesan, is a strong candidate if you are looking for a residence near gift city. Based on current real estate dynamics in the gandhinagar region, here is why a 2bhk unit of approximately 161 sq. Yards in this project stands out as a solid choice for living:1. Strategic location & connectivity proximity to gift city: The primary advantage of living in randesan is i...",,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-rang-pearl-by-kaavyaratna-group-gift-city-gandhinagar-1449-sqft-spid-U90885608,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"3 BHK Flatin Sargasan, Gandhinagar",3 BHK Flat,"Sargasan, Gandhinagar",₹77 Lac,"₹4,331 /sqft","1,845 sqft",(171 sqm),Built-up Area,Ready To Move,"The flat is facing the north-East direction. The flat occupies a built up area of 205 sq.Yards that consists of 3 bedrooms, 3 bathrooms and 2 balconies. This flat is situated on the 2nd floor of this 5 floors tall residential building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The ceramic flooring of this flat is beautifully designed and ...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sthapan-apartments-sargasan-gandhinagar-1845-sqft-spid-M90541100,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Randesan, Gandhinagar",3 BHK Flat,"Randesan, Gandhinagar",₹1 Cr,"₹5,168 /sqft","1,935 sqft",(180 sqm),Super Built-up Area,Ready To Move,"This 3 bhk apartment is located in kavyaratna sanskruti, which houses some of the most spacious flats in randesan, gandhinagar. The flat is over 215 sq.Yards super built up area and comes with 3 bedrooms, 3 bathrooms and 1 balcony. The flat has a total of 13 floors and this property is situated on 13th floor. An added advantage of this 1 year old flat is that it is available for immediate posse...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-randesan-gandhinagar-1935-sqft-spid-B89741302,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Kudasan, Gandhinagar",3 BHK Flat,"Kudasan, Gandhinagar",₹1.45 Cr,"₹7,435 /sqft","3,230 sqft",(300 sqm),Super Built-up Area,Ready To Move,"Shivalay parisar is a well-Maintained residential apartment complex located in kudasan, gandhinagar. It offers a peaceful, secure living environment with good connectivity to main roads, nearby markets, schools, and daily amenities, making it suitable for families and professionals.",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shivalay-parisar-kudasan-gandhinagar-3230-sqft-spid-T88403926,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"Residential land / Plotin Palodia, Gandhinagar",,"Palodia, Gandhinagar",₹2.51 Cr,"₹4,775 /sqft","5,256 sqft",(488 sqm),,Ready To Move,,,,https://www.99acres.com/residential-land-plot-for-sale-in-palodia-ahmedabad-west-584-sqyd-r4-spid-M82947958,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"2 BHK Flatin Kudasan, Gandhinagar",2 BHK Flat,"Kudasan, Gandhinagar",₹65 Lac,"₹44,217 /sqft",147 sqft,(14 sqm),Super Built-up Area,Ready To Move,"The flat is facing the north-West direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 147 sq.Ft. The flat has a total of 6 floors and this property is situated on 5th floor. This is a ready to move project and the property is 10+ years old. The floor of this flat is beautifully designed using vitri...",,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sahjanand-city-kudasan-gandhinagar-147-sqft-spid-F90968710,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"2 BHK Flatin Kudasan, Gandhinagar",2 BHK Flat,"Kudasan, Gandhinagar",₹1.2 Cr,"₹9,732 /sqft","2,232 sqft",(207 sqm),Super Built-up Area,Ready To Move,"This property faces the east direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 248 sq.Yards. This flat is situated on the 4th floor of this 14 floors tall residential building. This 0-1 year old property is available for immediate possession as the project is ready to move. The beautifully design...",,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kudasan-gandhinagar-2232-sqft-spid-F90210510,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Kudasan, Gandhinagar",3 BHK Flat,"Kudasan, Gandhinagar",₹1.29 Cr,"₹4,550 /sqft","2,835 sqft",(263 sqm),Super Built-up Area,Ready To Move,"This is a east-Facing property. Constructed on a super built up area of 2835 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 1 balcony. This flat is situated on the 12th floor of this 13 floors tall residential building. This is a ready to move project and the property is 1-5 years old. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. Th...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shivalay-sharnam-kudasan-gandhinagar-2835-sqft-spid-N90783482,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"3 Bedroom Housein Raysan, Gandhinagar",3 BHK,"Raysan, Gandhinagar",₹2.8 Cr,"₹15,556 /sqft","1,800 sqft",(167 sqm),,Ready To Move,"Vrundavan bungalows-2 in raysan, gandhinagar is a peaceful residential bungalow society offering independent homes with spacious layouts and family-Friendly surroundings. The project is ideal for those looking for privacy, open space and comfortable living in a developing premium area. Bungalows are designed with proper ventilation, natural light and private parking facilities. Located near pdp...",,,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-raysan-gandhinagar-1800-sqft-spid-O90920016,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Kudasan, Gandhinagar",3 BHK Flat,"Kudasan, Gandhinagar",₹1.41 Cr,"₹6,266 /sqft","2,250 sqft",(209 sqm),Super Built-up Area,Ready To Move,"This is a east-Facing property. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 2250 sq.Ft. The flat has a total of 6 floors and this property is situated on 2nd floor. This is a ready to move project and the property is 1-5 years old. The floor of this flat is beautifully designed using vitrified floorin...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mahalaxmi-royal-palace-kudasan-gandhinagar-2250-sqft-spid-G90879552,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"2 BHK Flatin Kudasan, Gandhinagar",2 BHK Flat,"Kudasan, Gandhinagar",₹62 Lac,"₹4,593 /sqft","1,350 sqft",(125 sqm),Super Built-up Area,Ready To Move,"This property in kudasan, gandhinagar is a ready-To-Move residential apartment community by uma projects offering thoughtfully designed 2 bhk and 3 bhk homes. Set in a calm and accessible locality, it combines comfort with practical living spaces. The society features landscaped gardens, childrens play areas, clubhouse and security provisions. With excellent connectivity to podar international ...",,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-uma-mahalaxmi-4-kudasan-gandhinagar-1350-sqft-r1-spid-X88640570,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Kudasan, Gandhinagar",3 BHK Flat,"Kudasan, Gandhinagar",₹1.45 Cr,"₹5,498 /sqft","2,637 sqft",(245 sqm),Super Built-up Area,Ready To Move,"The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2637 sq.Ft. The flat has a total of 7 floors and this property is situated on 4th floor. This is a ready to move project and the property is 1-5 years old. The society is well equipped with many modern amenities, including swimming pool, fitness centre / g...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shivalay-parisar-kudasan-gandhinagar-2637-sqft-spid-T90543098,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"3 BHK Flatin Koba, Gandhinagar",3 BHK Flat,"Koba, Gandhinagar",₹1.2 Cr,"₹5,333 /sqft","2,250 sqft",(209 sqm),Super Built-up Area,Ready To Move,"The flat is facing the north-East direction. The flat occupies a super built up area of 2250 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 1 balcony. This flat lies on the 8th level of a 9 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The floor of this flat is beautifully designed using vitrified flooring, giving the fla...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-saamarth-heaven-5-koba-gandhinagar-2250-sqft-spid-J90922894,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"5 Bedroom Housein Pethapur, Gandhinagar",5 BHK,"Pethapur, Gandhinagar",₹2 Cr,"₹9,789 /sqft","2,043 sqft",(190 sqm),,Ready To Move,"Pethapur is one of gandhinagar's most sought after destination for residential houses and this siddhivinayak bunglows 5 bhk house in pethapur is your opportunity to be a part of this community. This house occupies a super built up area of 227 sq.Yards and contains 5 bedrooms, 5 bathrooms and 1 balcony. Your vehicle(s) can be easily parked as this house comes with 1 covered and 1 open parking. A...",,,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-pethapur-gandhinagar-2043-sqft-spid-A90784234,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Sargasan, Gandhinagar",3 BHK Flat,"Sargasan, Gandhinagar",₹1.11 Cr,"₹4,501 /sqft","2,466 sqft",(229 sqm),Carpet Area,Ready To Move,"The flat is facing the south direction. The flat is over 274 sq.Yards carpet area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. The property is located on the 1st floor of a 13 floors tall building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. The flat comes well built with vitrified flooring options. The flat will offer a modern ...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sargasan-gandhinagar-2466-sqft-r1-spid-Y88733324,https://static.99acres.com/universalapp/img/downArrowNew.png
